model,logisticregression__C,logisticregression__fit_intercept,logisticregression__max_iter,logisticregression__solver,score,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,colsample_bytree,learning_rate,min_child_weight,reg_lambda,subsample,kneighborsclassifier__n_neighbors,kneighborsclassifier__p,kneighborsclassifier__weights,linearsvc__C,linearsvc__class_weight,linearsvc__dual,linearsvc__fit_intercept,linearsvc__max_iter,activation,alpha,hidden_layer_sizes,learning_rate_init,max_iter,solver,algorithm
extra_trees,,,,,0.12557407851770352,14.0,sqrt,1.0,5.0,441.0,,,,,,,,,,,,,,,,,,,,
random_forest,,,,,0.125523777148977,12.0,log2,3.0,4.0,400.0,,,,,,,,,,,,,,,,,,,,
random_forest,,,,,0.1252207909116557,12.0,sqrt,2.0,5.0,200.0,,,,,,,,,,,,,,,,,,,,
random_forest,,,,,0.12499159726172071,14.0,sqrt,6.0,2.0,200.0,,,,,,,,,,,,,,,,,,,,
random_forest,,,,,0.12488007554847444,14.0,log2,5.0,4.0,180.0,,,,,,,,,,,,,,,,,,,,
extra_trees,,,,,0.12449865220092712,,log2,4.0,5.0,441.0,,,,,,,,,,,,,,,,,,,,
extra_trees,,,,,0.1242300765900145,,sqrt,4.0,5.0,441.0,,,,,,,,,,,,,,,,,,,,
extra_trees,,,,,0.12416152423942362,14.0,0.8,4.0,5.0,441.0,,,,,,,,,,,,,,,,,,,,
gradient_boosting,,,,,0.1241197726057518,4.0,,,,180.0,,0.11000000000000001,,,0.8,,,,,,,,,,,,,,,
gradient_boosting,,,,,0.12388256018943351,3.0,,,,441.0,,0.1,,,0.7200000000000001,,,,,,,,,,,,,,,
xgboost,,,,,0.12386540835154544,6.0,,,,,0.54,0.045000000000000005,1.0,0.45,0.935,,,,,,,,,,,,,,,
gradient_boosting,,,,,0.12384521447546747,4.0,,,,441.0,,0.045000000000000005,,,1.0,,,,,,,,,,,,,,,
extra_trees,,,,,0.12378698004434724,14.0,0.8,1.0,5.0,441.0,,,,,,,,,,,,,,,,,,,,
xgboost,,,,,0.1226703307141342,6.0,,,,,0.54,0.05,1.0,2.2,0.935,,,,,,,,,,,,,,,
xgboost,,,,,0.12258745455362385,5.0,,,,,0.8800000000000001,0.05,1.0,2.0,0.935,,,,,,,,,,,,,,,
random_forest,,,,,0.12256744338948651,12.0,0.8,6.0,5.0,441.0,,,,,,,,,,,,,,,,,,,,
random_forest,,,,,0.1213155196327575,14.0,0.8,6.0,2.0,200.0,,,,,,,,,,,,,,,,,,,,
xgboost,,,,,0.12121154755767234,6.0,,,,,0.8,0.05,1.0,2.2,0.935,,,,,,,,,,,,,,,
random_forest,,,,,0.12080356742112819,14.0,sqrt,3.0,4.0,400.0,,,,,,,,,,,,,,,,,,,,
random_forest,,,,,0.12068625599862406,12.0,0.8,5.0,4.0,180.0,,,,,,,,,,,,,,,,,,,,
random_forest,,,,,0.12062828006644581,14.0,log2,2.0,5.0,200.0,,,,,,,,,,,,,,,,,,,,
xgboost,,,,,0.1204698325158699,6.0,,,,,0.8,0.045000000000000005,1.0,0.45,0.935,,,,,,,,,,,,,,,
random_forest,,,,,0.12024811181626353,12.0,0.8,2.0,5.0,200.0,,,,,,,,,,,,,,,,,,,,
xgboost,,,,,0.1200159162527093,5.0,,,,,0.6,0.1,3.0,1.0,0.935,,,,,,,,,,,,,,,
xgboost,,,,,0.119597301194383,5.0,,,,,0.6,0.11000000000000001,4.0,0.5,0.935,,,,,,,,,,,,,,,
gradient_boosting,,,,,0.11948285565825015,4.0,,,,441.0,,0.1,,,1.0,,,,,,,,,,,,,,,
random_forest,,,,,0.11909609157775419,14.0,0.8,3.0,4.0,400.0,,,,,,,,,,,,,,,,,,,,
mlp,,,,,0.11777682012619309,,,,,,,,,,,,,,,,,,,relu,0.0001,"(64,)",0.011000000000000001,180.0,adam,
xgboost,,,,,0.11725653310180416,5.0,,,,,0.8800000000000001,0.11000000000000001,4.0,0.5,0.935,,,,,,,,,,,,,,,
