model,logisticregression__C,logisticregression__fit_intercept,logisticregression__max_iter,logisticregression__solver,score,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,colsample_bytree,learning_rate,min_child_weight,reg_lambda,subsample,kneighborsclassifier__n_neighbors,kneighborsclassifier__p,kneighborsclassifier__weights,linearsvc__C,linearsvc__class_weight,linearsvc__dual,linearsvc__fit_intercept,linearsvc__max_iter,activation,alpha,hidden_layer_sizes,learning_rate_init,max_iter,solver,algorithm
knn,,,,,0.10563696469159474,,,,,,,,,,,19.0,2.0,uniform,,,,,,,,,,,,
mlp,,,,,0.10534961334847484,,,,,,,,,,,,,,,,,,,relu,9e-05,"(64, 64)",0.01,300.0,adam,
knn,,,,,0.10517876343431681,,,,,,,,,,,17.0,2.0,uniform,,,,,,,,,,,,
mlp,,,,,0.10461856007590044,,,,,,,,,,,,,,,,,,,tanh,0.0001,"(64, 64)",0.011000000000000001,300.0,adam,
knn,,,,,0.10402069653626544,,,,,,,,,,,19.0,1.0,distance,,,,,,,,,,,,
mlp,,,,,0.1039296337162333,,,,,,,,,,,,,,,,,,,tanh,0.0011,"(64,)",0.0009000000000000001,330.0,lbfgs,
mlp,,,,,0.1037306766453121,,,,,,,,,,,,,,,,,,,tanh,0.0001,"(128, 64)",0.011000000000000001,330.0,lbfgs,
mlp,,,,,0.1030304617282517,,,,,,,,,,,,,,,,,,,relu,0.0011,"(64, 64)",0.001,200.0,lbfgs,
knn,,,,,0.10297000226149851,,,,,,,,,,,19.0,1.0,uniform,,,,,,,,,,,,
mlp,,,,,0.10293707430700698,,,,,,,,,,,,,,,,,,,tanh,0.001,"(128, 64)",0.0009000000000000001,300.0,lbfgs,
mlp,,,,,0.1028763560156913,,,,,,,,,,,,,,,,,,,tanh,0.0001,"(64,)",0.011000000000000001,180.0,adam,
knn,,,,,0.10264230113189524,,,,,,,,,,,17.0,1.0,distance,,,,,,,,,,,,
knn,,,,,0.10125719503612428,,,,,,,,,,,17.0,1.0,uniform,,,,,,,,,,,,
knn,,,,,0.10095168928147116,,,,,,,,,,,11.0,2.0,distance,,,,,,,,,,,,
knn,,,,,0.10021516632127743,,,,,,,,,,,11.0,1.0,distance,,,,,,,,,,,,
mlp,,,,,0.10005043622333362,,,,,,,,,,,,,,,,,,,tanh,9e-05,"(128, 64)",0.01,330.0,adam,
knn,,,,,0.0996287550805384,,,,,,,,,,,11.0,2.0,uniform,,,,,,,,,,,,
mlp,,,,,0.09954756828759628,,,,,,,,,,,,,,,,,,,relu,0.0011,"(128, 64)",0.001,330.0,adam,
knn,,,,,0.09861414576148751,,,,,,,,,,,11.0,1.0,uniform,,,,,,,,,,,,
knn,,,,,0.09832878041131335,,,,,,,,,,,7.0,2.0,distance,,,,,,,,,,,,
knn,,,,,0.09809625697864277,,,,,,,,,,,7.0,1.0,distance,,,,,,,,,,,,
knn,,,,,0.09795355642779117,,,,,,,,,,,7.0,1.0,uniform,,,,,,,,,,,,
mlp,,,,,0.0975107917936971,,,,,,,,,,,,,,,,,,,tanh,0.0011,"(128, 64)",0.001,330.0,adam,
knn,,,,,0.09738395662967274,,,,,,,,,,,6.0,2.0,distance,,,,,,,,,,,,
knn,,,,,0.09699170518428635,,,,,,,,,,,7.0,2.0,uniform,,,,,,,,,,,,
knn,,,,,0.09682875944230897,,,,,,,,,,,6.0,1.0,uniform,,,,,,,,,,,,
knn,,,,,0.09674644114286254,,,,,,,,,,,6.0,1.0,distance,,,,,,,,,,,,
knn,,,,,0.09626555801646254,,,,,,,,,,,6.0,2.0,uniform,,,,,,,,,,,,
