model.dropout,model.hidden_dim,model.num_layers,model.rgcn_bases,train.epochs,train.optimizer.lr,train.optimizer.weight_decay,val_auprc,trial
0.15,128,3,4,80,0.0011,0.05,0.17557113908861857,226
0.25,300,1,6,80,0.0005,0.05,0.175560816907109,670
0.2,300,3,6,80,0.0005,0.01,0.1755567515354551,531
0.3,300,3,6,80,0.0011,0.01,0.17555497122577846,897
0.3,300,1,4,80,0.0011,0.01,0.17553594668636296,847
0.3,300,2,6,80,0.0009,0.01,0.17553142806833708,875
0.3,300,2,6,80,0.0007,0.01,0.17553095392316403,873
0.3,300,1,6,80,0.0007,0.01,0.17553085067936508,853
0.25,256,3,4,80,0.0009,0.05,0.17552710239018401,644
0.25,256,3,4,80,0.0007,0.05,0.17550734435609877,642
0.1,300,1,6,80,0.0009,0.01,0.17548864902060968,135
0.25,300,3,6,80,0.0011,0.05,0.17548364931996552,716
0.15,128,2,4,80,0.0013,0.05,0.17541362928184187,208
0.2,256,2,6,80,0.0007,0.01,0.17538280099771078,453
0.3,300,3,6,80,0.0005,0.05,0.17538261695240617,890
0.3,300,2,4,80,0.0009,0.01,0.17535995711818841,865
0.3,256,3,4,80,0.0013,0.05,0.17529822574495318,828
0.3,256,1,6,80,0.0009,0.05,0.17529792621940976,794
0.25,300,3,6,80,0.0007,0.05,0.17526941106681343,712
0.25,256,3,6,80,0.0005,0.05,0.1752582351616614,650
0.25,128,2,6,80,0.0013,0.05,0.1752492539786008,578
0.2,300,1,4,80,0.0007,0.05,0.1752402511162026,482
0.25,300,2,6,80,0.0005,0.01,0.17523884395259584,691
0.2,256,3,4,80,0.0011,0.01,0.17521722643906323,467
0.3,256,1,6,80,0.0007,0.05,0.17520481330871146,792
0.2,256,3,6,80,0.0009,0.05,0.17519312400044312,474
0.3,300,3,4,80,0.0009,0.05,0.1751784553208787,884
0.25,256,3,6,80,0.0013,0.05,0.1751755152208892,658
0.25,128,2,6,80,0.0011,0.01,0.17515319013599037,577
0.25,300,2,4,80,0.0013,0.05,0.17513045206735894,688
0.2,256,3,6,80,0.0011,0.01,0.1751265307520054,477
0.1,128,2,6,80,0.0007,0.05,0.1751200654750373,32
0.15,256,3,6,80,0.0013,0.01,0.17511260658372818,299
0.3,128,2,6,80,0.0013,0.01,0.17510643167238188,759
0.2,128,3,4,80,0.0011,0.05,0.1751016400225966,406
0.25,300,1,4,80,0.0007,0.01,0.17510079085311775,663
0.15,300,1,4,80,0.0011,0.01,0.17509473996310104,307
0.2,300,1,6,80,0.0013,0.01,0.17507821946408972,499
0.2,300,1,6,80,0.0005,0.01,0.17506010290765758,491
0.3,256,3,6,80,0.0007,0.01,0.17505962575844683,833
0.3,128,1,4,80,0.0013,0.05,0.17505903696797026,728
0.25,300,1,4,80,0.0005,0.01,0.17504939789052706,661
0.1,300,1,4,80,0.0005,0.01,0.1750489731271116,121
0.3,256,1,6,80,0.0009,0.01,0.17504738733815184,795
0.1,256,2,4,80,0.0005,0.01,0.17503439632405535,81
0.2,128,2,6,80,0.0011,0.01,0.17503050456814395,397
0.2,300,3,6,80,0.0007,0.05,0.1750280788696637,532
0.1,256,3,6,80,0.0007,0.05,0.17500639113814076,112
0.1,256,1,6,80,0.0009,0.01,0.17499890117829614,75
0.25,256,3,4,80,0.0007,0.01,0.17499223001867067,643
0.15,128,2,4,80,0.0011,0.05,0.17498853671942366,206
0.2,128,3,6,80,0.0013,0.05,0.17498692638534066,418
0.1,256,3,6,80,0.0009,0.01,0.1749710463087042,115
0.2,256,3,4,80,0.0005,0.05,0.17496586827266994,460
0.3,300,3,4,80,0.0013,0.05,0.17495576092547338,888
0.2,128,1,6,80,0.0013,0.01,0.17491092767832628,379
0.3,300,2,6,80,0.0013,0.05,0.1749046087813322,878
0.3,128,2,6,80,0.0011,0.01,0.17487526400026226,757
0.2,300,3,4,80,0.0009,0.05,0.17485454642725823,524
0.25,128,3,4,80,0.0013,0.05,0.17484887518475392,588
0.15,128,2,4,80,0.0009,0.05,0.17484414340474802,204
0.1,300,1,4,80,0.0005,0.05,0.17483687764444877,120
0.25,256,2,6,80,0.0013,0.01,0.17477563585160216,639
0.25,256,1,6,80,0.0005,0.05,0.17475032592062706,610
0.3,256,2,6,80,0.0013,0.05,0.17474238083659763,818
0.25,256,3,6,80,0.0011,0.01,0.17472825473452525,657
0.2,300,3,4,80,0.0005,0.01,0.17467327889443207,521
0.2,300,1,4,80,0.0005,0.05,0.17463461420989843,480
0.2,256,1,4,80,0.0009,0.01,0.17460348919936547,425
0.1,256,2,4,80,0.0007,0.05,0.1745830235787782,82
0.25,256,3,6,80,0.0007,0.01,0.17457876276420514,653
0.1,128,3,6,80,0.0011,0.01,0.17455205186951528,57
0.1,128,3,6,80,0.0009,0.01,0.1745450389516651,55
0.2,256,3,6,80,0.0009,0.01,0.1745246790003448,475
0.15,256,3,6,80,0.0011,0.01,0.17452141573552854,297
0.2,256,2,6,80,0.0005,0.05,0.1745159485074567,450
0.2,256,3,4,80,0.0011,0.05,0.1745083001772634,466
0.3,300,2,4,80,0.0007,0.05,0.17446369699442602,862
0.25,300,1,4,80,0.0009,0.01,0.17446110998429182,665
0.3,300,1,6,80,0.0013,0.01,0.1744520750256685,859
0.2,300,3,6,80,0.0011,0.05,0.17445036535057293,536
0.1,300,1,6,80,0.0005,0.05,0.17442219029075917,130
0.25,300,3,6,80,0.0009,0.01,0.17441198185001028,715
0.2,256,2,4,80,0.0009,0.01,0.1743989629012627,445
0.2,256,1,4,80,0.0009,0.05,0.17438902292598266,424
0.1,128,2,6,80,0.0007,0.01,0.17438747591101028,33
0.2,128,2,6,80,0.0009,0.01,0.17434540104324328,395
0.15,128,3,4,80,0.0013,0.05,0.17433671647173984,228
0.2,300,3,4,80,0.0013,0.05,0.1743290961144336,528
0.2,128,2,6,80,0.0011,0.05,0.17430096166855447,396
0.1,128,2,6,80,0.0009,0.05,0.1742980610126945,34
0.3,128,1,4,80,0.0011,0.05,0.1742093594381636,726
0.15,300,3,6,80,0.0013,0.01,0.17418705756744424,359
0.1,128,3,6,80,0.0009,0.05,0.17417997328538953,54
0.1,128,1,6,80,0.0009,0.05,0.1741608073307729,14
0.25,256,1,6,80,0.0013,0.05,0.17414826734903194,618
0.1,128,2,4,80,0.0007,0.05,0.1741379167536681,22
0.3,300,1,6,80,0.0011,0.01,0.1741253391424797,857
0.3,300,3,6,80,0.0013,0.05,0.17411136348665757,898
0.15,128,2,6,80,0.0011,0.05,0.17411037000140162,216
0.1,256,1,4,80,0.0013,0.05,0.17409736339618506,68
0.3,300,1,6,80,0.0013,0.05,0.17408261103491376,858
0.3,300,3,4,80,0.0005,0.05,0.17407314075753105,880
0.2,256,1,6,80,0.0013,0.01,0.17403867473655005,439
0.1,128,3,4,80,0.0013,0.05,0.17401378476904822,48
0.3,128,2,6,80,0.0009,0.01,0.1739895926517667,755
0.3,256,3,6,80,0.0013,0.01,0.1739756413559928,839
0.2,256,2,4,80,0.0007,0.05,0.17397014178247044,442
0.1,128,3,4,80,0.0011,0.05,0.17395842268349426,46
0.1,300,3,4,80,0.0009,0.05,0.17395290511139033,164
0.25,128,3,6,80,0.0011,0.01,0.17394243459973785,597
0.25,128,3,6,80,0.0009,0.05,0.17393005618494348,594
0.2,128,3,6,80,0.0007,0.05,0.1739166074689215,412
0.15,256,1,4,80,0.0013,0.05,0.17390542636569972,248
0.1,128,3,6,80,0.0007,0.01,0.1739038890099707,53
0.2,256,2,4,80,0.0005,0.01,0.17388586749196205,441
0.15,300,1,4,80,0.0013,0.05,0.1738762458078411,308
0.3,300,3,6,80,0.0009,0.05,0.1738761085440879,894
0.2,300,1,6,80,0.0011,0.01,0.17387555088952852,497
0.25,256,2,4,80,0.0005,0.05,0.17387303214888952,620
0.15,256,1,6,80,0.0005,0.05,0.17386002080129903,250
0.15,128,2,4,80,0.0007,0.01,0.17383099754659231,203
0.2,256,3,4,80,0.0013,0.01,0.17382196109734643,469
0.25,256,3,6,80,0.0013,0.01,0.17381858871555153,659
0.15,128,2,6,80,0.0013,0.01,0.17380849477647822,219
0.2,128,3,6,80,0.0009,0.05,0.1738066105579131,414
0.3,256,3,4,80,0.0007,0.01,0.17380146755967088,823
0.1,256,1,4,80,0.0005,0.05,0.17376212337887015,60
0.1,128,3,6,80,0.0005,0.01,0.17370667592080885,51
0.3,300,1,4,80,0.0007,0.01,0.1736988899267588,843
0.25,300,1,4,80,0.0009,0.05,0.1736763382236849,664
0.3,128,2,6,80,0.0013,0.05,0.1736744508722261,758
0.2,300,3,6,80,0.0013,0.05,0.17364481221322373,538
0.1,256,3,6,80,0.0009,0.05,0.17361617117038425,114
0.3,256,3,4,80,0.0011,0.01,0.1736131615078193,827
0.25,300,3,4,80,0.0013,0.01,0.17358999806977038,709
0.15,128,2,4,80,0.0011,0.01,0.17357563315911123,207
0.25,256,1,6,80,0.0005,0.01,0.1734993493955221,611
0.15,128,3,6,80,0.0011,0.05,0.17349245343570802,236
0.2,256,3,4,80,0.0009,0.05,0.1734844291481512,464
0.3,128,3,4,80,0.0011,0.05,0.17345537609131867,766
0.1,128,1,6,80,0.0011,0.01,0.17344071199750055,17
0.25,300,3,4,80,0.0009,0.05,0.17344009190066417,704
0.1,256,1,4,80,0.0011,0.05,0.1734353937256642,66
0.25,300,3,6,80,0.0007,0.01,0.17343033794164137,713
0.15,300,1,4,80,0.0005,0.05,0.17342175785966651,300
0.3,128,3,4,80,0.0011,0.01,0.1734165965361221,767
0.3,300,3,4,80,0.0011,0.01,0.1734030717541641,887
0.25,300,3,6,80,0.0013,0.05,0.17338781017251004,718
0.25,128,3,4,80,0.0013,0.01,0.17338386527442234,589
0.25,256,3,4,80,0.0013,0.01,0.17337675757222712,649
0.3,256,3,4,80,0.0009,0.05,0.17337244350409556,824
0.2,300,1,4,80,0.0009,0.01,0.1733551617941579,485
0.1,128,2,6,80,0.0009,0.01,0.17333691894298056,35
0.3,300,1,4,80,0.0011,0.05,0.17332108521834846,846
0.25,128,3,6,80,0.0013,0.01,0.17329178417766547,599
0.3,256,1,4,80,0.0007,0.01,0.17328757233143127,783
0.3,256,3,6,80,0.0013,0.05,0.17326213912302382,838
0.25,256,3,4,80,0.0005,0.05,0.1732533868919717,640
0.3,128,2,4,80,0.0011,0.01,0.17325324836801886,747
0.3,128,1,6,80,0.0011,0.05,0.17323595403777195,736
0.25,300,1,6,80,0.0005,0.01,0.17320646071091195,671
0.2,256,1,6,80,0.0011,0.01,0.17319833549651859,437
0.15,128,1,6,80,0.0011,0.05,0.17319647361154694,196
0.1,300,1,4,80,0.0011,0.05,0.17317958902524777,126
0.2,128,2,6,80,0.0007,0.01,0.17317447989184293,393
0.2,128,3,4,80,0.0013,0.01,0.17317323185684186,409
0.1,128,1,4,80,0.0013,0.01,0.1731712442539462,9
0.15,300,1,4,80,0.0009,0.01,0.17316508407629497,305
0.2,128,1,6,80,0.0011,0.01,0.17315276288620599,377
0.1,256,1,4,80,0.0007,0.05,0.17311540962767505,62
0.2,128,2,6,80,0.0009,0.05,0.17310770999005637,394
0.1,256,2,4,80,0.0005,0.05,0.17306869822173565,80
0.3,300,3,4,80,0.0013,0.01,0.17304858937104692,889
0.25,256,2,4,80,0.0005,0.01,0.17304840035427788,621
0.2,256,3,6,80,0.0005,0.01,0.1730481615259637,471
0.15,256,1,4,80,0.0007,0.05,0.17300629366742312,242
0.3,128,3,6,80,0.0011,0.05,0.17299702458547822,776
0.3,256,2,6,80,0.0007,0.05,0.17298726925030394,812
0.25,128,3,6,80,0.0011,0.05,0.17298393386295746,596
0.2,256,1,4,80,0.0011,0.05,0.1729683363938366,426
0.15,128,1,6,80,0.0011,0.01,0.172960414541129,197
0.3,300,3,6,80,0.0013,0.01,0.1729141674072717,899
0.2,300,2,4,80,0.0013,0.01,0.17289390845306704,509
0.1,300,3,4,80,0.0007,0.05,0.17289292591531913,162
0.15,300,2,4,80,0.0005,0.01,0.17286888546588758,321
0.3,256,3,6,80,0.0007,0.05,0.17286613790766425,832
0.25,256,3,6,80,0.0009,0.01,0.17284999419168165,655
0.1,128,3,4,80,0.0007,0.05,0.17280555910253592,42
0.3,300,3,6,80,0.0007,0.05,0.1727926934546563,892
0.15,128,3,4,80,0.0013,0.01,0.1727900437089948,229
0.1,256,1,6,80,0.0013,0.01,0.1727836250882991,79
0.25,128,3,4,80,0.0009,0.01,0.17270241400948277,585
0.25,256,3,4,80,0.0009,0.01,0.17268450271003852,645
0.2,128,2,4,80,0.0007,0.01,0.17267636295559058,383
0.3,256,3,4,80,0.0007,0.05,0.1726756565572486,822
0.3,300,3,4,80,0.0005,0.01,0.1726609694164595,881
0.15,128,1,4,80,0.0013,0.01,0.17264178685109388,189
0.3,256,2,4,80,0.0005,0.05,0.17261223842443593,800
0.3,128,3,6,80,0.0013,0.05,0.17258655417836583,778
0.25,256,1,4,80,0.0011,0.01,0.1725642992332168,607
0.3,256,2,4,80,0.0007,0.01,0.17254670132010436,803
0.2,256,1,4,80,0.0005,0.01,0.17253808416051722,421
0.1,300,1,4,80,0.0007,0.05,0.17251526632438888,122
0.15,128,3,4,80,0.0009,0.01,0.17251422464692784,225
0.25,256,1,4,80,0.0009,0.05,0.17251064460394833,604
0.3,256,1,6,80,0.0007,0.01,0.17249553492245362,793
0.25,256,1,6,80,0.0007,0.05,0.1724844729457095,612
0.3,300,3,4,80,0.0007,0.05,0.172442914281924,882
0.1,300,2,4,80,0.0011,0.05,0.17242148387818843,146
0.3,128,3,6,80,0.0011,0.01,0.1723725564021365,777
0.3,256,3,6,80,0.0009,0.05,0.17237228217659717,834
0.2,128,2,4,80,0.0013,0.05,0.17236794243650394,388
0.1,128,3,6,80,0.0005,0.05,0.17235223073463116,50
0.15,256,3,6,80,0.0005,0.01,0.1723505581395916,291
0.1,256,1,6,80,0.0009,0.05,0.17233143679091573,74
0.1,300,3,6,80,0.0007,0.05,0.17232522504921421,172
0.15,128,3,6,80,0.0007,0.05,0.1723234653985467,232
0.2,128,2,4,80,0.0013,0.01,0.17231498601889336,389
0.1,128,2,4,80,0.0009,0.01,0.17226492646823208,25
0.3,300,2,6,80,0.0011,0.01,0.17226010559506177,877
0.3,300,2,6,80,0.0011,0.05,0.17225457327949256,876
0.25,256,3,6,80,0.0005,0.01,0.17225309685208562,651
0.3,256,2,6,80,0.0007,0.01,0.17222493430346736,813
0.25,256,3,4,80,0.0013,0.05,0.17222316872909388,648
0.3,256,3,4,80,0.0005,0.01,0.17221421869048678,821
0.25,128,2,6,80,0.0011,0.05,0.17220849022697202,576
0.15,128,1,6,80,0.0007,0.05,0.1721781525901282,192
0.25,128,1,6,80,0.0013,0.01,0.17210360743891956,559
0.2,128,3,4,80,0.0009,0.01,0.17207435478526978,405
0.3,256,3,4,80,0.0009,0.01,0.1720239435876185,825
0.1,300,1,4,80,0.0011,0.01,0.17197868926501764,127
0.1,256,1,4,80,0.0009,0.01,0.17193775336779507,65
0.3,300,1,6,80,0.0009,0.05,0.17192387997753478,854
0.25,300,1,4,80,0.0007,0.05,0.17192286947235735,662
0.3,300,3,6,80,0.0005,0.01,0.17190381579320385,891
0.2,256,2,4,80,0.0011,0.05,0.17189436402781771,446
0.15,128,3,6,80,0.0005,0.01,0.17188101000703615,231
0.2,128,3,6,80,0.0009,0.01,0.17187645650853375,415
0.25,128,2,4,80,0.0007,0.01,0.17187294277980858,563
0.15,128,1,4,80,0.0013,0.05,0.17186046467089564,188
0.15,128,3,4,80,0.0011,0.01,0.1718470850972634,227
0.3,256,3,6,80,0.0011,0.01,0.1718397652187978,837
0.3,256,3,6,80,0.0005,0.05,0.17180636436949498,830
0.25,128,3,6,80,0.0013,0.05,0.17178648979545164,598
0.15,128,2,4,80,0.0009,0.01,0.17178150429251213,205
0.2,300,3,4,80,0.0011,0.05,0.17170871953931888,526
0.15,128,2,4,80,0.0005,0.05,0.17169531123154058,200
0.25,300,3,4,80,0.0005,0.01,0.171692677365037,701
0.3,256,2,4,80,0.0005,0.01,0.17168304464758288,801
0.1,128,2,4,80,0.0009,0.05,0.17167891689142412,24
0.3,128,2,6,80,0.0011,0.05,0.17166884554270645,756
0.1,128,2,4,80,0.0011,0.05,0.17165926570801326,26
0.2,128,1,4,80,0.0009,0.05,0.17163591400025666,364
0.25,128,3,4,80,0.0011,0.05,0.17163432211737387,586
0.25,128,1,6,80,0.0011,0.01,0.17162720199590062,557
0.3,256,1,6,80,0.0005,0.01,0.17161521915641603,791
0.1,128,2,6,80,0.0005,0.05,0.17161142223116824,30
0.25,128,2,6,80,0.0009,0.05,0.17157729441758873,574
0.25,128,2,4,80,0.0005,0.05,0.17154733458984459,560
0.2,128,2,4,80,0.0009,0.05,0.17149179923596444,384
0.25,128,2,4,80,0.0011,0.01,0.17148209436957054,567
0.3,128,3,4,80,0.0013,0.05,0.17147324567999467,768
0.25,128,2,4,80,0.0009,0.01,0.17147245703352326,565
0.15,300,1,4,80,0.0005,0.01,0.17146316767939462,301
0.2,128,1,6,80,0.0009,0.01,0.17146280072871392,375
0.2,256,1,4,80,0.0011,0.01,0.17144427698187029,427
0.15,256,1,4,80,0.0005,0.01,0.17137756699561324,241
0.15,128,3,6,80,0.0009,0.05,0.17136592818370067,234
0.3,300,3,4,80,0.0011,0.05,0.17136124830458796,886
0.2,128,3,4,80,0.0013,0.05,0.1713322233810684,408
0.1,256,1,4,80,0.0009,0.05,0.17129731637743156,64
0.15,128,3,4,80,0.0007,0.05,0.1712560637987865,222
0.25,128,3,6,80,0.0007,0.01,0.17122873607600053,593
0.2,256,1,4,80,0.0007,0.05,0.17122464242299684,422
0.25,256,3,4,80,0.0005,0.01,0.17119555702897715,641
0.3,128,2,6,80,0.0009,0.05,0.17117845743369892,754
0.2,256,2,4,80,0.0005,0.05,0.17117584719396145,440
0.25,128,2,4,80,0.0007,0.05,0.1711638437693277,562
0.25,128,3,4,80,0.0007,0.01,0.17112739046210457,583
0.25,128,2,4,80,0.0013,0.05,0.1711272741556368,568
0.3,128,3,6,80,0.0009,0.01,0.17112023302943125,775
0.3,128,1,4,80,0.0009,0.01,0.17105198838764918,725
0.15,128,2,4,80,0.0005,0.01,0.17104877724469064,201
0.2,256,1,4,80,0.0005,0.05,0.1710318289155392,420
0.2,128,3,6,80,0.0013,0.01,0.1710238257395481,419
0.1,128,2,6,80,0.0011,0.05,0.17100193050728543,36
0.15,256,1,4,80,0.0005,0.05,0.1709987164630366,240
0.15,256,3,4,80,0.0005,0.01,0.17097772096132147,281
0.25,128,2,6,80,0.0009,0.01,0.1709246465418994,575
0.2,128,3,6,80,0.0011,0.05,0.17089836845600143,416
0.1,128,2,6,80,0.0011,0.01,0.17087268920920629,37
0.25,300,3,4,80,0.0007,0.05,0.1708198982629285,702
0.3,300,1,4,80,0.0009,0.05,0.17077193187327366,844
0.1,128,3,4,80,0.0009,0.05,0.17073505666863215,44
0.1,128,3,4,80,0.0005,0.01,0.17073150356694683,41
0.2,128,3,4,80,0.0009,0.05,0.1706866379780462,404
0.25,128,3,4,80,0.0011,0.01,0.17067339015435454,587
0.1,256,1,6,80,0.0005,0.05,0.17065249662304996,70
0.2,300,1,4,80,0.0005,0.01,0.17062241606656725,481
0.3,128,2,4,80,0.0007,0.01,0.17055543060461614,743
0.3,128,3,6,80,0.0013,0.01,0.1705332065128185,779
0.3,300,2,4,80,0.0005,0.01,0.17052051060253037,861
0.25,128,1,6,80,0.0011,0.05,0.1705190428778322,556
0.2,128,2,4,80,0.0009,0.01,0.17050144255985922,385
0.25,300,3,6,80,0.0013,0.01,0.17044170822412985,719
0.25,128,2,4,80,0.0013,0.01,0.17040568110697268,569
0.3,256,1,4,80,0.0007,0.05,0.17037939265910979,782
0.15,128,3,6,80,0.0013,0.05,0.1703703328779447,238
0.15,128,2,6,80,0.0005,0.01,0.1703460540232021,211
0.1,128,3,6,80,0.0007,0.05,0.17026275803949348,52
0.3,300,3,6,80,0.0011,0.05,0.17024398316459916,896
0.2,128,2,6,80,0.0005,0.05,0.17022286188468969,390
0.3,128,2,4,80,0.0007,0.05,0.17008176669150887,742
0.3,300,1,4,80,0.0005,0.01,0.17008115669178728,841
0.25,128,2,6,80,0.0007,0.01,0.17007858801725817,573
0.15,128,1,6,80,0.0007,0.01,0.1700301299082359,193
0.15,128,3,4,80,0.0005,0.01,0.1700253384523328,221
0.15,300,1,4,80,0.0007,0.05,0.17000378451677922,302
0.3,256,3,6,80,0.0005,0.01,0.170003684793759,831
0.25,128,2,4,80,0.0009,0.05,0.16990110769416325,564
0.3,128,2,4,80,0.0009,0.01,0.16982364544518286,745
0.15,128,3,4,80,0.0007,0.01,0.16981160495438935,223
0.25,300,3,6,80,0.0009,0.05,0.16978506901698232,714
0.2,128,2,4,80,0.0005,0.01,0.16975300707896834,381
0.3,300,3,4,80,0.0009,0.01,0.16972173968555687,885
0.25,128,1,4,80,0.0009,0.01,0.16966539942217518,545
0.3,128,1,6,80,0.0009,0.01,0.16961883388275606,735
0.15,128,1,6,80,0.0013,0.01,0.16955388141663846,199
0.25,128,3,4,80,0.0009,0.05,0.16954656460686685,584
0.2,128,1,4,80,0.0009,0.01,0.1695288379241252,365
0.3,128,1,6,80,0.0011,0.01,0.1695047626444088,737
0.1,128,3,4,80,0.0005,0.05,0.16949970780340148,40
0.25,128,1,4,80,0.0009,0.05,0.16945526528598495,544
0.15,128,2,4,80,0.0007,0.05,0.16934733206140065,202
0.3,256,1,4,80,0.0005,0.05,0.16928154248368682,780
0.25,256,1,4,80,0.0005,0.05,0.16925696851436864,600
0.2,128,3,4,80,0.0007,0.01,0.1692238011098378,403
0.2,128,1,4,80,0.0013,0.05,0.16922003472624497,368
0.15,256,1,4,80,0.0011,0.01,0.1692111794761446,247
0.15,256,1,4,80,0.0013,0.01,0.16913400938549653,249
0.1,128,1,6,80,0.0007,0.01,0.1690195609987342,13
0.2,128,1,4,80,0.0013,0.01,0.1690170724104864,369
0.3,128,2,6,80,0.0007,0.01,0.16893118724920803,753
0.15,128,2,6,80,0.0005,0.05,0.1689140684322452,210
0.25,128,1,6,80,0.0009,0.05,0.16890200074388667,554
0.3,128,1,6,80,0.0007,0.01,0.1688439011285879,733
0.2,128,3,6,80,0.0011,0.01,0.16877496191372876,417
0.15,256,2,4,80,0.0005,0.05,0.16859867779780058,260
0.1,128,1,6,80,0.0007,0.05,0.16858660630777367,12
0.3,128,2,4,80,0.0013,0.05,0.16853274688161735,748
0.1,128,1,4,80,0.0013,0.05,0.1685261847963993,8
0.15,128,3,6,80,0.0007,0.01,0.16840921775108783,233
0.3,128,1,6,80,0.0013,0.01,0.16838734970628214,739
0.2,128,1,4,80,0.0007,0.01,0.16835432204818257,363
0.1,128,3,4,80,0.0007,0.01,0.16834035181469803,43
0.2,256,1,6,80,0.0005,0.01,0.16832447310418405,431
0.2,128,1,6,80,0.0007,0.01,0.16826193307309845,373
0.25,300,1,4,80,0.0005,0.05,0.16823498874127682,660
0.25,128,3,6,80,0.0009,0.01,0.16814475168186635,595
0.2,128,1,6,80,0.0013,0.05,0.1681063443369332,378
0.25,128,2,6,80,0.0005,0.01,0.168090545291872,571
0.1,128,2,4,80,0.0007,0.01,0.16807782587439005,23
0.3,128,3,4,80,0.0007,0.01,0.16807515822309474,763
0.25,128,3,6,80,0.0007,0.05,0.16806936632334846,592
0.2,128,1,6,80,0.0011,0.05,0.1680517298937095,376
0.2,128,3,4,80,0.0005,0.05,0.1680163819343892,400
0.1,128,2,6,80,0.0005,0.01,0.167953908934407,31
0.25,128,2,4,80,0.0011,0.05,0.16793877495642873,566
0.2,128,2,6,80,0.0005,0.01,0.1678931798965519,391
0.3,128,3,4,80,0.0013,0.01,0.16788535094070717,769
0.15,128,1,6,80,0.0005,0.05,0.16785453926806285,190
0.3,256,1,6,80,0.0011,0.01,0.1678309055365306,797
0.15,128,3,6,80,0.0009,0.01,0.1677999523309993,235
0.15,128,1,6,80,0.0013,0.05,0.16778941929692737,198
0.1,128,2,4,80,0.0005,0.05,0.1676831036018792,20
0.15,128,3,6,80,0.0005,0.05,0.16764430811686568,230
0.3,128,1,4,80,0.0013,0.01,0.1675782794337076,729
0.3,256,3,4,80,0.0011,0.05,0.1675305573362124,826
0.25,128,1,6,80,0.0013,0.05,0.1675132449837199,558
0.3,128,2,4,80,0.0005,0.05,0.16749142636698566,740
0.2,128,3,6,80,0.0007,0.01,0.16746724718077577,413
0.25,128,2,4,80,0.0005,0.01,0.16743889975750664,561
0.2,128,3,6,80,0.0005,0.05,0.16740054024205944,410
0.2,128,3,4,80,0.0005,0.01,0.16732256902156342,401
0.15,128,1,6,80,0.0009,0.05,0.1672988264009046,194
0.15,128,1,6,80,0.0005,0.01,0.16727942418129021,191
0.3,256,3,4,80,0.0005,0.05,0.16727495652105678,820
0.1,128,1,6,80,0.0005,0.05,0.1672663642909617,10
0.25,128,1,4,80,0.0013,0.05,0.16724327620598498,548
0.25,256,1,4,80,0.0013,0.01,0.16718869243287898,609
0.1,128,1,4,80,0.0011,0.01,0.16712403701903839,7
0.3,128,1,6,80,0.0013,0.05,0.16712377722502875,738
0.3,128,1,4,80,0.0009,0.05,0.16704851735505413,724
0.3,128,1,6,80,0.0005,0.01,0.16698942124973842,731
0.3,128,1,4,80,0.0007,0.01,0.166977467616198,723
0.3,128,3,4,80,0.0009,0.05,0.16693900892987723,764
0.15,128,1,4,80,0.0009,0.05,0.16685357461638542,184
0.3,128,3,6,80,0.0009,0.05,0.1668533657422093,774
0.1,128,1,6,80,0.0009,0.01,0.16681771427678582,15
0.25,128,2,6,80,0.0007,0.05,0.16680326208327867,572
0.3,128,1,6,80,0.0009,0.05,0.16675240973467492,734
0.3,128,3,6,80,0.0007,0.05,0.16674642839721043,772
0.25,128,3,4,80,0.0007,0.05,0.16671077876861903,582
0.1,128,2,4,80,0.0005,0.01,0.16667834413041954,21
0.25,128,3,6,80,0.0005,0.05,0.16666682969222057,590
0.1,128,1,4,80,0.0009,0.01,0.16665023133086718,5
0.2,128,1,6,80,0.0007,0.05,0.1666217597322236,372
0.25,128,2,6,80,0.0005,0.05,0.16660839431084914,570
0.25,128,1,6,80,0.0007,0.05,0.1665830602185211,552
0.2,128,3,4,80,0.0011,0.01,0.16655326171816082,407
0.2,128,2,4,80,0.0007,0.05,0.16642662393409985,382
0.2,128,1,6,80,0.0009,0.05,0.1662638582681307,374
0.25,128,1,6,80,0.0009,0.01,0.16625523699013406,555
0.2,128,3,4,80,0.0007,0.05,0.1661584364096007,402
0.1,128,1,4,80,0.0007,0.01,0.16615488561287822,3
0.3,128,2,4,80,0.0005,0.01,0.16612233038886443,741
0.15,128,1,4,80,0.0009,0.01,0.16607251504382559,185
0.25,128,3,6,80,0.0005,0.01,0.16604328411815322,591
0.15,128,1,4,80,0.0007,0.05,0.165955019649977,182
0.25,128,1,4,80,0.0011,0.05,0.1658894710243123,546
0.3,128,3,4,80,0.0009,0.01,0.16588649772667408,765
0.15,128,3,4,80,0.0005,0.05,0.1655473733680872,220
0.1,128,2,4,80,0.0011,0.01,0.16547106724449484,27
0.3,128,1,6,80,0.0005,0.05,0.1654114721198794,730
0.1,128,1,4,80,0.0009,0.05,0.16536288933872748,4
0.15,128,1,4,80,0.0011,0.01,0.16533093020383852,187
0.3,128,1,4,80,0.0011,0.01,0.16513232345044315,727
0.3,128,3,6,80,0.0005,0.05,0.16500843774906565,770
0.1,128,1,4,80,0.0011,0.05,0.16500012298840172,6
0.3,128,3,4,80,0.0005,0.05,0.1649193535010519,760
0.2,128,2,4,80,0.0011,0.05,0.16491126630594588,386
0.25,128,1,6,80,0.0007,0.01,0.16471836663120415,553
0.2,128,1,4,80,0.0011,0.01,0.16465374979576625,367
0.25,256,1,4,80,0.0007,0.05,0.16458474615578111,602
